Antler Nordic Residency | Accelerator | Stockholm/Oslo/Copenhagen/Helsinki/Tallinn | 100k initial + up to 300k follow-on | Day-zero pre-seed, sector-agnostic, solo founders welcome | Backs marketplaces and solo founders without warm intros — Chairmatch fits service-marketplace thesis | Backs healthtech/care plays at day-zero — Alltagsengel iOS+Android traction matches | Apply form on antler.co/apply (always-open residency since 2025) | Closed Nordic Fund II at $100M+ in 2025; always-open residency Feb 2026; invested $5.6M across 14 AI startups Dec 2025 | Requires residency participation (in-person sprint)
Antler Berlin (Continental Europe) | Accelerator | Berlin, Germany | 200k initial + up to 300k follow-on | Day-zero pre-seed, all sectors incl. service marketplaces | Single-founder friendly, residency includes Berlin which suits DACH marketplace | Same residency takes healthtech; fits solo-founder Alltagsengel | apply.antler.co (rolling) | Continental Europe €500k program launched Sept 2025; 100 founders selected from ~10k applicants | Berlin residency requires presence
byFounders | Micro-VC | Copenhagen, Denmark | 250k-2M | Pre-seed/seed New Nordics, founder-led, community-powered, marketplace-positive | Marketplace thesis confirmed; DACH-adjacent OK | Impact-aware angle fits care-tech narrative | tina@byfounders.vc / partners listed on byfounders.vc/team | Invested in Focalx Feb 2025; Lovable, Monta, Corti in portfolio | Prefers Nordic/Baltic HQ — DACH must show Nordic angle
Heartcore Capital | VC | Copenhagen/Berlin/Paris/Stockholm | 1.5M-3M (pre-seed possible via Fund V) | B2C consumer, marketplace, e-commerce, healthtech, fashion/beauty | Beauty/fashion + marketplace thesis is direct Chairmatch fit | Healthtech in scope; Berlin presence helps | hello@heartcore.com / partners on heartcore.com/people | Closed €170M Fund V Dec 2024; 8 investments in 2025 | Often leads at seed — pre-seed checks rare
Maki.vc | Micro-VC | Helsinki, Finland | 300k-3M initial | Pre-seed/seed deep-tech & brand-driven; Nordic/Northern Europe | Brand-driven marketplace fits Chairmatch beauty positioning | Brand-driven angle works for Alltagsengel consumer health | hello@maki.vc / partners on maki.vc | Launched €100M Fund III in 2025; 7 new investments incl. Distance Tech, QMill | Heavier on deep-tech than service marketplaces
Inventure | Micro-VC | Helsinki/Stockholm | 200k-5M | Nordic/Baltic pre-seed to Series B; B2B SaaS, consumer, healthtech | Wolt in portfolio — proven marketplace pattern | Healthtech in mandate | hello@inventure.vc / partners on inventure.vc | 7 investments in 2025, 4 YTD 2026 | Sweet spot at seed — pre-seed less common
Norrsken Evolve | Accelerator | Stockholm, Sweden | 250k pre-seed | European pre-seed impact, healthtech, AI infra, sustainability | Service-marketplace impact angle works (gig empowerment, stylist independence) | Direct impact-on-elderly thesis fit | Apply on norrskenevolve.vc | €57M raised in 2025; Norrsken VC backed 7 in 2025 incl. Sava (health), Trawa | Impact thesis required — must articulate SDG link
Superangel | Micro-VC | Tallinn, Estonia | 100k-500k | Baltics + Nordics early stage; backers of Bolt, Veriff, Pipedrive | Bolt-DNA team understands service marketplaces deeply | Health-adjacent OK | hello@superangel.io | Active 2025 incl. UK Kraken Tech round; SEB pension as LP | Geographic preference Baltics/Nordics — DACH needs angle
Trind Ventures | Micro-VC | Tallinn, Estonia | 100k-1M (follow-on to 5M) | Founder-first European early-stage consumer & B2B/C2C | Consumer C2C marketplace is core thesis | Consumer health OK | partners on trind.vc | Fund II €55M deploying through 2025 | Heavier Nordic/Central Europe
Specialist VC | Micro-VC | Tallinn, Estonia | 250k-1M | Pre-seed to Series A, marketplaces explicitly in thesis, Baltics + Finland + Ukraine | Marketplace thesis explicit | Vertical SaaS in scope | hello@specialistvc.com | €50M fund deploying 2025 | Geographic focus Baltic/Ukraine — DACH harder
Practica Capital | Micro-VC | Vilnius, Lithuania | 1M-3M initial | Baltic-focused but invests pan-EU; marketplace, SaaS explicit | Marketplace thesis core (Eneba, Ovoko in portfolio) | Care marketplace fits | partners on practica.vc | €80M Fund IV launched early 2024; 4 investments in 2025 | Baltic-anchored — DACH needs strong narrative
