Seedcamp | Micro-VC | London, UK | 350k-1M | Pre-seed/seed multi-stage Europe; marketplaces, fintech, SaaS, health | Backed service marketplaces since 2007 (Wise, Hopin); ClassPass-style salon rental fits historic thesis | Service marketplace plus health bridges historic care/wellbeing portfolio | Open Founder Friday application on seedcamp.com plus partners on LinkedIn | 35 investments in 2025 incl. $3M pre-seed lead for Revox Q1 2025 | none
Ada Ventures | Micro-VC | London, UK | 250k-1M | Inclusive Alpha thesis: economic empowerment, healthy ageing, climate equity | Marketplace serving solo stylists (often women) = economic empowerment | Direct match for healthy ageing thesis = §45b SGB XI care helpers | Cold application form on adaventures.com/apply | 6 investments in 2025 incl. Jack & Jill AI, follow-on Rgrid | Strong UK preference for early stage
Concept Ventures | Micro-VC | London, UK | 500k-1.5M | Sector-agnostic pre-seed UK + Europe; leads 90% of rounds | First-cheque sector-agnostic backer; chair-rental marketplace fits | Sector agnostic — open to DACH care marketplaces | Contact form on concept.vc; Reece Chowdhry on LinkedIn open to cold | Closed $88M Fund II Sept 2025; 6 new deals last 12 months | none
Episode 1 Ventures | Micro-VC | London, UK | 290k-2.3M | UK + Europe pre-seed/seed B2B software incl. B2B marketplaces | B2B marketplace at pre-seed = textbook fit | n/a | Apply via episode1.com; Damien Lane LinkedIn | 9 investments in 2025 incl. Jack & Jill AI, Refute follow-on | UK preference but Europe-open
Playfair Capital | Micro-VC | London, UK | 115k-1.7M | Exclusively pre-seed UK + Europe; 6 deals/yr high-conviction | Backed marketplaces Trouva + Appear Here; direct fit | n/a | playfair.vc contact form; partners respond to cold inbound | $70M Fund 3 deploying; 78% reach Series A | Only 6 investments/year — very selective
Ascension Ventures (Tech4Good Fund III) | Micro-VC | London, UK | 100k-500k | Tech4Good £50M pre-seed fund; digital health, future of work, financial resilience | n/a | Digital health + future of work + service access maps to §45b care helpers | Apply via ascension.vc/entrepreneurs (cold-friendly) | £17M first close Fund III 2024; portfolio Wagestream Tembo Switchee | UK-resident bias — flag
SFC Capital | Micro-VC + Syndicate | London, UK | 115k-345k | Most active SEIS fund UK; tech, fintech, healthtech, consumer | n/a | n/a | sfccapital.com/apply | 500+ portfolio cos, £150M AUM, most active SEIS 2024 | Hard anti-match: requires UK incorporation
7percent Ventures | Micro-VC | London, UK | 460k initial | Pre-seed UK/Europe/US moonshots and frontier tech | Sector-agnostic at pre-seed; historic marketplace appetite | n/a | 7pc.vc/apply; Andrew Scott on LinkedIn | 5 investments in 2025 incl. Sesame AI Oct 2025 | Recent pivot to quantum/aerospace/defense — flag
Form Ventures | Micro-VC | London, UK | 250k-1M | UK pre-seed/seed in regulated industries where policy matters | n/a | Strong: §45b SGB XI is exact reimbursable-regulation moat Form targets | formventures.vc/contact | Active 2025 deployments in regulated tech | UK incorporation preference — flag
Founders Factory (Aviva program) | Accelerator + Studio | London, UK | 50k + follow-on | Pre-Seed to Series A across fintech, health, climate; Aviva insurance + aging-tech partner | n/a | Direct: Aviva = UK's largest insurer with explicit aging focus; HealthKey precedent matches §45b reimbursable model | foundersfactory.com/aviva application | Aviva FF program extended through 2026; HealthKey £1.1M seed | Equity-heavy single-digit % terms — flag
LocalGlobe (Phoenix Court) | Micro-VC | London, UK | 580k-2.3M | Pre-seed/seed UK + Europe in fintech, healthtech, marketplaces | Marketplace-fluent since 1999; consistently early on consumer marketplaces | Direct: Q1-2025 led $2.4M pre-seed in Nila cross-border elder-care marketplace | Phoenix Court intro form; Saul Klein on LinkedIn | 491 investments; 18 unicorns seeded; Nila + Planbase pre-seeds 2025 | Prefers warm intros but reads cold
Triple Point Ventures | Micro-VC + VCT | London, UK | 575k-3.4M | UK pre-seed/seed B2B SaaS incl. vertical SaaS, healthcare | Vertical SaaS fits B2B salon platform layer | Healthcare in stated thesis = adjacent | triplepoint.vc/contact; Seb Wallace LinkedIn | £12.6M across 5 new + 5 follow-on H2 2025 | UK incorporation VCT requirement
Octopus Ventures (Health vertical) | Micro-VC | London, UK | 290k-2.3M | Pre-seed-to-Series-A health; Perci Health, Béa, Big Health portfolio | n/a | Strong: Perci Health (cancer care), Béa (at-home fertility), Big Health = care helper adjacent | octopusventures.com pitch form; Will Gibbs LinkedIn | Active 2025 health deployments | UK preference; competitive funnel
Connect Ventures | Micro-VC | London, UK | 460k-4.6M | Europe-wide pre-seed/seed; stated "vertical networks and marketplaces" thesis | Direct hit: vertical-networks-and-marketplaces is named thesis pillar | n/a | connectventures.co/contact; Pietro Bezza LinkedIn | 176 investments; latest pre-seed dilica Oct 2025 | none
Notion Capital (Pioneers program) | Micro-VC | London, UK | 50k-1M Pioneers | B2B SaaS pre-seed; cloud, AI, healthcare, fintech | Vertical SaaS for salons fits B2B angle | Care-marketplace SaaS layer fits; co-led Nelly DACH healthtech 2025 | notioncapital.com Pioneers application | Backed Nelly Germany 2025; €114M new fund Sept 2025; 24 deals 2025 | Pre-seed only via Pioneers; main fund cheques larger
firstminute capital | Micro-VC | London, UK | 1.1M-3.4M | Pre-seed/seed UK/Europe/US; consumer, marketplaces, healthtech stated | Marketplaces is stated focus | Healthtech is stated focus | firstminute.capital/contact; Brent Hoberman LinkedIn | 24 investments in 2025; n8n unicorn 2025 | Targets 10% ownership — pushes valuations
Mosaic Ventures | Micro-VC | London, UK | 900k-5.5M | Seed/Series A Europe; marketplaces, computational health, fintech | Marketplaces is one of Toby Coppel's 5 named themes | Computational health + marketplaces dual thesis = direct match | mosaicventures.com/contact; Toby Coppel LinkedIn | $300M AUM; active 2025 | Cheques start at $1M — Seed not pre-seed
Eka Ventures | Micro-VC | London, UK | 1.1M-3.4M | UK pre-seed/seed impact: health, consumer resilience, decarbonisation | n/a | Direct: health + essential-services access = §45b helper model fits | ekavc.com/apply | $107M Fund II 2025; led Conveyd Dec 2025, Medly AI Feb 2025 | UK incorporation preference — flag
Hoxton Ventures | Micro-VC | London, UK | 460k-4.6M | Pre-seed/seed/Series A European AI, deeptech, enterprise SaaS, techbio | Backed Deliveroo + Babylon = marketplace + healthtech DNA | Babylon precedent = digital-health openness | hoxtonventures.com/contact | 5 investments 2025; expanded US team Sept 2025 | Heavy AI/deeptech tilt currently — flag
Kima Ventures | Angel/Micro-VC | Paris, France | 150k fixed | Sector-agnostic founder-centric pre-seed; ~150 investments/yr; cold-friendly | Sector-agnostic + cold-friendly = realistic shot | Sector-agnostic = realistic shot | kimaventures.com submission form (explicit cold channel) | 132 investments in 2025; 1,270+ portfolio | Since 2018 favors French/Francophone founders — Yusuf is German, long-shot
Frst Capital | Micro-VC | Paris, France | 575k-3.4M | French-rooted pre-seed/seed; global-ambition founders | Spun out of Otium with marketplace specialism DNA | Owkin healthtech precedent shows openness | frst.vc/contact; Pierre Entremont LinkedIn | 3 new investments last 12 months as of Jul 2025 | French-founder bias — flag
Stride.VC | Micro-VC | London + Paris | 1.1M-5.7M | Seed UK + France generalist; backed Deliveroo, Cazoo, Runa | Fred Destin's marketplace DNA (Accel → Deliveroo) = strong cultural fit | n/a | stride.vc/contact; Fred Destin LinkedIn very active | 42 portfolio; 4 new last 12 months Sept 2025 | none
Daphni (Purple) | Micro-VC | Paris, France | 460k-2.3M | French/European tech with societal/environmental impact | n/a | Societal-impact thesis maps to elder-care insurance; Lifen healthtech precedent | daphni.com/contact-us | €260M Blue Fund Q1 2025; 115 portfolio | French-founder bias — flag
XAnge | Micro-VC | Paris (Berlin/Brussels) | 920k-13.8M | B-Corp seed-to-Series-C everyday-life tech | Berlin office DACH-friendly; everyday-life thesis fits | Skello + 360Learning portfolio shows service-platform openness | xange.vc/contact | 9 investments in 2025; XAnge 5 €200M first close | Starts ~€1M — Seed not pre-seed
Resonance VC | Micro-VC | Paris, France | 460k-9.2M | Pre-seed/seed/A SaaS, fintech, healthtech, consumer | Consumer + broad sectors include marketplaces | HealthTech stated sector | resonance.vc/contact | 15 portfolio; Aiode investment Jun 2025 | Slow pace 1-2/yr — flag
SuperCapital VC | Angel network/Micro-VC | Paris, France | 50k-300k | 360° pre-seed-to-Series-A French startups | Broad consumer/marketplace coverage | Open to consumer/care plays | supercapital.club/contact | 116 portfolio; 4 new last 12 months Oct 2025 | French-founder bias — flag
Otium Capital | Family Office | Paris, France | 100k-13.8M | Pre-seed-to-LBO; explicit marketplaces, SaaS, hospitality specialism | Marketplaces stated specialism; hospitality cluster ≈ salon economy | Consumer-services exposure; care less direct | otiumcapital.com/contact | 125 portfolio Nov 2025; €180M startup studio commitment | Founder Stérin politically controversial — reputational flag
OVNI Capital | Micro-VC | Paris (Berlin presence) | 230k-1.8M | First-cheque pre-seed for European founders scaling internationally | International-ambition thesis fits DACH expansion | Open to consumer/services | ovni.capital/contact; Marie Outtier LinkedIn | €60M debut fund final close 2024; ~20 new investments planned | Skews tech-forward — flag
Galion.exe | Micro-VC | Paris, France | 250k-2.5M | French seed enterprise, fintech, health, climate; founders' collective | n/a | Health is stated sector; Egide investment shows healthtech | galion.exe/contact | 7 investments in 2025; latest Egide + Generare | Strong French-founder bias — flag
Iris Capital | Micro-VC | Paris (Berlin office) | 920k-7.4M | Seed/Series A France + Germany tech generalist | Pan-European + German office DACH-fluent | Healthtech in portfolio | iris.vc/contact | Latest Popsink seed Oct 2025; €150M new fund | Starts at €1M — Seed not pre-seed
Antler London | Accelerator | London, UK | 230k-330k | 8-week residency + $260K cheque on IC pass; sector-agnostic | Sector-agnostic admission + expansion coaching | Sector-agnostic | antler.co/uk applications open (Oct 2025 + Mar 2026 cohorts) | Spring 2025 cohort: 14 startups, £1.7M deployed | Requires in-person London residency 8 weeks
Frédéric Mazzella | Angel | Paris, France | 5k-50k | BlaBlaCar founder; marketplaces, future-of-work, travel, food, impact, insurance | Direct marketplace DNA; backed OLIO UK marketplace | Insurance + impact = adjacency to §45b insurance-funded care | LinkedIn direct; fredericmazzella.com | ~36 angel investments; active OLIO board | Small cheques — social proof more than lead
