"Name","Type","HQ","Ticket Range (EUR)","Thesis/Sector Fit","Why fits Chairmatch","Why fits Alltagsengel","Contact Channel","Active 2025-26 Evidence","Anti-Match Flag"
"Hustle Fund — Elizabeth Yin / Eric Bahn","Micro-VC","San Francisco, USA","25k-140k","Pre-seed generalist, ""hilariously early,"" explicit marketplace focus, global founders welcome","Marketplace thesis fit; week-over-week velocity model rewards lean teams with 1 booking already","Care marketplace thesis fit; global mandate and writes into solo cross-border founders","Apply form: hustlefund.vc/apply + LinkedIn @elizabethyin","Fund IV raising March 2025 ($50M target); 20 investments in 2025, 4+ in early 2026","Tiny initial check; will need co-leads"
"Afore Capital — Anamitra Banerji / Gaurav Jain","Micro-VC","San Francisco, USA","230k-1M","Pure pre-seed; Fund IV $185M Feb 2025; ""pre-seed 2.0"" thesis with FIR program","Marketplace founders welcome; Modern Health/BetterUp show comfort with services-platform plays","Modern Health portfolio signals openness to regulated wellness/health-adjacent verticals","hello@afore.vc + apply at afore.vc/residence","$185M Fund IV announced Feb 2025; 17 investments in 2025 incl. TakeTwo, Loop AI Series A Feb 2026","none"
"NFX — James Currier / Pete Flueckiger","Micro-VC","San Francisco, USA","230k-2.7M","Network effects/marketplace specialists; explicit ""Marketplaces FAST"" pre-seed program","Direct fit — Chairmatch IS a network-effects marketplace; FAST program built for this","Care marketplace fits NFX ""vertical networks"" thesis","Apply: fast.nfx.com/fast-marketplaces (24h decision)","Fund III $450M actively deploying; portfolio Q4 2025 + Jan 2026 active across marketplaces","none — IDEAL match for Chairmatch"
"FJ Labs — Fabrice Grinda / Jose Marin","Micro-VC","New York, USA","185k flat","World's largest marketplace investor; 1,000+ marketplaces backed; fixed check sizes","Direct fit — 2-sided marketplace specialists; Grinda calls himself ""king of marketplaces""","Backed care/service marketplaces incl. Properly, Rappi, Cera Care-adjacent","apply@fjlabs.com + LinkedIn @fabricegrinda; 1-week decision no warm intro needed","Q3 2025 update shows continued active deployment; 928 lifetime investments","none — strongest single fit for Chairmatch"
"GoAhead Ventures — Clancey Stahr","Micro-VC","Menlo Park, USA","185k-280k","Pre-seed; open video-pitch funnel (zero warm-intro required); global founders","Marketplace-friendly, decision in days, written explicitly for non-Bay-Area founders","Global remit and fast decisions ideal for solo non-US founder profile","Submit 3-min video at goaheadvc.com (no intro needed)","$175M+ AUM; reviews 3,000+ founder videos/yr; actively deploying 2025-26","none — built for cold founders"
"Soma Capital — Aneel Ranadive","Micro-VC","San Francisco, USA","90k-460k","Pre-seed generalist; cross-border thesis explicit; 30+ pre-seeds in 2025","Marketplace welcome; cross-border thesis perfect for EU founder targeting global play","Cross-border thesis = DACH care startup fits; broad B2C portfolio","apply at somacap.com/apply + LinkedIn @aneel","30+ pre-seed checks 2025 avg ~$500K; launched AI Fund II $55M of $100M target","none"
"Right Side Capital — Dave Lambert","Micro-VC","San Francisco, USA","45k-185k","Pre-seed specialist with 2,000+ companies; cold-outreach friendly; quick decisions","Marketplace deals welcome; low check pairs with EU follow-ons","Care thesis OK; broad sector mandate at low valuations ($2-4M)","Apply form: rightsidecapital.com (no intro needed)","Named TIME/Statista Top VC 2025; 2,000+ portfolio","Low valuation cap may pinch if Yusuf wants higher valuation"
"Pareto Holdings — Edward Lando / Jon Oringer","Syndicate","New York, USA","45k-460k","Hyper-prolific super-angel studio; deploys personal capital","Marketplace-friendly; broad-sector pre-seed across global founders","Broad thesis; care marketplace fits ""do everything weird and early"" approach","LinkedIn DM @edwardlando","53+ investments listed; active 2025 deployment through Pareto20.com","none"
"BoxGroup — David Tisch","Micro-VC","New York, USA","230k-920k","NYC pre-seed/seed; $550M raised Oct 2025 across Box Seven + Opportunity Fund","Consumer + marketplace history (Plaid, Glossier, Warby) signals fit","Consumer + health portfolio history; would consider regulated services","partners@boxgroup.com + LinkedIn @davetisch","$550M closed Oct 2025; 29 new investments LTM","Strong NYC/SF founder preference — EU plays harder"
"Lerer Hippeau — Eric Hippeau","Micro-VC","New York, USA","90k-2.7M","NYC consumer + enterprise pre-seed/seed; Fund IX $200M April 2025","Consumer marketplace history (BarkBox, Warby Parker, Casper)","Consumer-care/services-adjacent comfort; Everyday Economy play","hello@lererhippeau.com + LinkedIn @ehippeau","$200M Fund IX closed April 2025; 19 investments in 2025","US-focused; cold EU outreach uphill"
